Time,Server
1478214540264,1
1478214555280,1
1478214570302,1
1478214585381,2
1478214600410,1
1478214615436,2
1478214630456,1
1478214645481,2
1478214660507,1
1478214725777,1
1478214740789,1
1478214755808,1
1478214770829,1
1478214785848,1
1478214800867,1
1478214815889,1
1478214830911,1
1478214845919,1
1478214905947,1
1478214920969,1
1478214935990,1
1478214951009,1
1478214966028,1
1478214981049,1
1478214996069,1
1478215011088,1
1478215026110,1
1478215086135,1
1478215101147,1
1478215116167,1
1478215131190,1
