Time,Pheromone
1478215125687, 42.0
1478215110667, 39.0
1478215095647, 36.0
1478215080627, 33.0
1478215065607, 34.0
1478215050587, 35.0
1478215035567, 36.0
1478215020547, 57.0
1478215005526, 54.0
1478214990507, 51.0
1478214975487, 48.0
1478214960467, 45.0
1478214945447, 42.0
1478214930427, 39.0
1478214915407, 36.0
1478214900387, 33.0
1478214885367, 34.0
1478214870347, 35.0
1478214855327, 36.0
1478214840307, 57.0
1478214825287, 54.0
1478214810267, 51.0
1478214795247, 48.0
1478214780227, 45.0
1478214765207, 42.0
1478214750187, 39.0
1478214735167, 36.0
1478214720147, 33.0
1478214705127, 34.0
1478214690107, 35.0
1478214675087, 36.0
1478214660067, 36.0
1478214645048, 58.0
1478214630028, 55.0
1478214615007, 52.0
1478214599987, 49.0
1478214584968, 46.0
1478214569947, 43.0
1478214554931, 40.0
