Time,Pheromone
1477955925687, 42.0
1477955910667, 39.0
1477955895647, 36.0
1477955880627, 33.0
1477955865607, 34.0
1477955850587, 35.0
1477955835567, 36.0
1477955820547, 57.0
1477955805526, 54.0
1477955790507, 51.0
1477955775487, 48.0
1477955760467, 45.0
1477955745447, 42.0
1477955730427, 39.0
1477955715407, 36.0
1477955700387, 33.0
1477955685367, 34.0
1477955670347, 35.0
1477955655327, 36.0
1477955640307, 57.0
1477955625287, 54.0
1477955610267, 51.0
1477955595247, 48.0
1477955580227, 45.0
1477955565207, 42.0
1477955550187, 39.0
1477955535167, 36.0
1477955520147, 33.0
1477955505127, 34.0
1477955490107, 35.0
1477955475087, 36.0
1477955460067, 36.0
1477955445048, 58.0
1477955430028, 55.0
1477955415007, 52.0
1477955399987, 49.0
1477955384968, 46.0
1477955369947, 43.0
1477955354931, 40.0
