Time,Pheromone
1477955931190, 46.0
1477955916167, 43.0
1477955901147, 40.0
1477955886135, 37.0
1477955826110, 58.0
1477955811088, 58.0
1477955796069, 55.0
1477955781049, 52.0
1477955766028, 49.0
1477955751009, 46.0
1477955735990, 43.0
1477955720969, 40.0
1477955705947, 37.0
1477955645919, 58.0
1477955630911, 58.0
1477955615889, 55.0
1477955600867, 52.0
1477955585848, 49.0
1477955570829, 46.0
1477955555808, 43.0
1477955540789, 40.0
1477955525777, 37.0
1477955460507, 60.0
1477955430456, 59.0
1477955400410, 53.0
1477955370302, 47.0
1477955355280, 44.0
1477955340264, 41.0
