Time,Server
1479067630709,1
1479067655814,2
1479067773885,0
1479067808809,1
1479067833921,2
1479067950990,2
1479068011021,0
1479068040948,1
1479068071049,2
1479068182107,0
1479068276949,4
1479068341216,4
1479068377280,3
1479068392330,0
1479068413369,4
1479068440396,1
1479068441441,3
1479068456477,2
1479068475439,4
1479068536495,4
1479068588611,0
1479068659672,0
1479068683625,1
1479068691711,2
1479068729740,3
1479068757683,4
1479068808791,3
1479068865838,4
1479068866859,0
1479068885891,3
1479068900893,4
1479068901917,2
1479068917946,0
1479068933969,3
1479068940971,1
1479068968015,3
1479069005086,3
1479069045142,3
1479069060982,1
1479069121027,1
1479069123104,0
1479069177080,1
1479069182156,0
1479069231125,1
1479069239206,0
1479069285176,1
1479069294255,0
1479069338226,1
1479069348309,0
1479069392276,1
1479069401356,0
1479069446326,1
1479069455406,0
1479069499374,1
1479069509457,0
1479069542433,1
1479069562512,0
1479069594483,1
1479069605556,0
1479069659616,0
