Time,Server
1479038483737,1
1479038506177,0
1479038536265,2
1479038541807,1
1479038597352,2
1479038602877,1
1479038655422,2
1479038660945,1
1479038716494,2
1479038720001,1
1479038774550,2
1479038781067,1
1479038835611,2
1479038838131,1
1479038893685,2
1479038897196,1
1479038950741,2
1479038955258,1
1479039009812,2
1479039013321,1
1479039067876,2
1479039069380,1
1479039124931,2
1479039126439,1
1479039181993,2
1479039185486,1
1479039239043,2
1479039243547,1
1479039298103,2
1479039300604,1
1479039342655,1
1479039356162,2
1479039395705,1
1479039404213,2
1479039448756,1
1479039454262,2
1479039501805,1
1479039507314,2
1479039555854,1
1479039561363,2
1479039610903,1
1479039612413,2
1479039664952,1
1479039668464,2
1479039722514,2
1479039723002,1
1479039777565,2
1479039778052,1
1479039832099,1
1479039835615,2
1479039889665,2
1479039945716,2
1479040012995,0
1479040036010,0
1479040059030,0
1479040082050,0
1479040104070,0
1479040129090,0
1479040169110,0
1479040210130,0
1479040251150,0
