Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1479038097884,20.784313725490193,0,0,9,3,0.0,0.0,0.0,0.0,0.0,0,0
1479038127101,10.4264475743349,0,0,19,6,6.666666666666667,0.0,0.0,0.0,0.0,0,0
1479038157133,7.736909009086995,0,0,29,10,8.0,0.0,0.0,0.0,0.0,0,0
1479038187125,6.091191310739585,0,0,30,10,10.7,0.0,0.0,0.0,0.0,0,0
1479038217155,12.86524584148728,10,1,30,10,10.7,0.0,0.0,0.0,0.0,0,0
1479038247170,8.010819443308058,10,1,30,10,10.7,0.0,0.0,0.0,0.0,0,0
1479038277185,6.261104716525765,10,1,30,10,10.4,0.0,0.0,0.0,0.0,0,0
1479038307206,5.119616493938209,10,1,30,10,10.6,0.0,0.0,0.0,0.0,0,0
1479038337232,4.795054608330233,10,1,30,10,10.9,0.0,0.0,0.0,0.0,0,0
1479038367248,6.182445295050191,10,1,30,10,10.3,0.0,0.0,0.0,0.0,0,0
1479038397271,30.632401683810563,10,1,30,10,11.3,0.0,0.0,0.0,0.0,3,29
1479038427285,11.900714489425257,10,1,30,10,61.8,0.0,0.0,381.6208866188397,3680.155655418664,3,29
1479038457300,10.81161729783777,10,1,30,10,11.0,0.0,0.0,382.10441387295305,3684.335635870835,3,29
1479038487317,9.77958073661467,10,1,30,10,12.0,0.0,0.0,387.2589031616701,3743.6201926825474,3,29
1479038517338,11.03398864432052,10,1,30,10,10.3,0.0,0.0,379.4541523168441,3659.3488834192117,3,29
1479038547364,11.697885785859501,10,1,30,10,12.3,0.0,0.0,377.6722953816675,3651.7543719845567,3,29
1479038577396,11.397677986116475,10,1,30,10,46.0,0.0,0.0,376.32898082942097,3636.918233572496,3,29
1479038607404,10.73465636084725,10,1,30,10,14.7,0.0,0.0,388.4549291085697,3744.736290578869,3,29
1479038637417,10.854797875582284,10,1,30,10,16.3,0.0,0.0,379.61561521143307,3663.3938185199686,3,29
1479038667437,9.576562611290521,10,1,30,10,58.7,0.0,0.0,385.6328397127314,3737.3503605534015,3,29
1479038697454,14.887895424607317,10,1,30,10,30.5,0.0,0.0,392.1689578192927,3790.360758626092,3,29
