Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1479071225094,3.0204081632653064,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1479071254341,6.838335607094134,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1479071284366,8.047311986670218,0,0,9,3,0.0,0.0,0.0,0.0,0.0,0,0
1479071314411,8.195592940575356,0,0,19,6,5.333333333333333,0.0,0.0,0.0,0.0,0,0
1479071344422,8.167842291270553,0,0,29,9,7.444444444444445,0.0,0.0,0.0,0.0,0,0
1479071374445,9.328976351430494,0,0,36,12,8.666666666666666,0.0,0.0,0.0,0.0,0,0
1479071404454,8.541762525284971,12,1,36,12,10.416666666666666,0.0,0.0,0.0,0.0,0,0
1479071434475,6.308725075193911,12,1,36,12,11.583333333333334,0.0,0.0,0.0,0.0,0,0
1479071464497,6.052310022105273,12,1,36,12,11.75,0.0,0.0,0.0,0.0,0,0
1479071494513,6.40241842126521,12,1,36,12,11.25,0.0,0.0,0.0,0.0,0,0
1479071524527,13.563292541935992,12,1,36,12,10.083333333333334,0.0,0.0,0.0,0.0,2,23
1479071554551,22.378617061285354,12,1,36,12,800.0,0.0,0.0,309.4892403075655,2239.0785071871037,4,47
1479071584563,16.644715635838526,12,1,36,12,18.916666666666668,0.0,0.0,310.90122634759103,3646.9076711321363,4,47
1479071614582,14.483484750719075,12,1,36,12,16.666666666666668,0.0,0.0,314.08397979657514,3680.4883833593362,4,47
1479071644606,10.853894134094322,12,1,36,12,37.916666666666664,0.0,0.0,311.97424514630563,3656.2422455036317,4,47
1479071674622,13.82922828748166,12,1,36,12,14.833333333333334,0.0,0.0,322.83758171106854,3766.010955680869,4,47
1479071704658,14.082904530067214,12,1,36,12,141.41666666666666,0.0,0.0,313.42315431240064,3658.0267537758355,4,47
1479071734661,12.625461780190705,12,1,36,12,21.583333333333332,0.0,0.0,324.2095946053311,3793.7634072220217,4,47
1479071764689,11.922452484134013,12,1,36,12,38.166666666666664,0.0,0.0,304.8463550992798,3580.931232839918,4,47
1479071794700,11.31333923949485,12,1,36,12,83.58333333333333,0.0,0.0,323.4838924440558,3788.2998504511297,4,47
1479071824717,10.623043345056098,12,1,36,12,287.5833333333333,0.0,0.0,305.0229470639685,3570.9119563272766,4,47
1479071854742,12.59578759589282,12,1,36,12,10.166666666666666,0.0,0.0,321.1150712072458,3752.3925063560164,4,47
1479071884767,9.82875261619352,12,1,36,12,11.166666666666666,0.0,0.0,306.8796688247012,3595.2116090808845,4,47
1479071914775,11.191958420077894,12,1,36,12,90.16666666666667,0.0,0.0,310.7292289300658,3622.523473301455,4,47
1479071944798,10.748843549576527,12,1,36,12,179.0,0.0,0.0,311.70081289818484,3664.474000650641,4,47
1479071974818,9.857124082765198,12,1,36,12,36.75,0.0,0.0,321.4715879091869,3773.000581289091,4,47
1479072004861,8.738083053226212,12,1,36,12,14.75,0.0,0.0,315.1134838998212,3690.987927406895,4,47
1479072034858,9.824279121260926,12,1,36,12,15.0,0.0,0.0,320.8045908051142,3759.6647017074492,4,47
