Time,Pheromone
1478136817023, 43.0
1478136802004, 40.0
1478136786992, 37.0
1478136726954, 58.0
1478136711945, 58.0
1478136696924, 55.0
1478136681904, 52.0
1478136666885, 49.0
1478136651863, 46.0
1478136636844, 43.0
1478136621827, 40.0
1478136606810, 37.0
1478136546784, 58.0
1478136531763, 58.0
1478136516745, 55.0
1478136501734, 52.0
1478136486714, 49.0
1478136471694, 46.0
1478136456674, 43.0
1478136441654, 40.0
1478136426636, 37.0
1478136366594, 58.0
1478136351584, 58.0
1478136336564, 55.0
1478136321544, 52.0
1478136306524, 49.0
1478136291504, 46.0
1478136276485, 43.0
1478136261474, 40.0
1478136246461, 37.0
1478136186433, 58.0
1478136171414, 58.0
1478136156394, 55.0
1478136141374, 52.0
1478136126354, 49.0
1478136111334, 46.0
1478136096314, 43.0
1478136081294, 40.0
1478136066281, 37.0
1478136006254, 58.0
1478135991235, 58.0
1478135976214, 55.0
1478135961194, 52.0
1478135946174, 49.0
1478135931154, 46.0
1478135916134, 43.0
1478135901114, 40.0
1478135886099, 37.0
1478135826074, 58.0
1478135811055, 58.0
1478135796033, 55.0
1478135781014, 52.0
1478135765995, 49.0
1478135750975, 46.0
1478135735955, 43.0
1478135720934, 40.0
1478135705920, 37.0
1478135645884, 58.0
1478135630864, 58.0
1478135615844, 55.0
1478135600824, 52.0
1478135585805, 49.0
1478135570784, 46.0
1478135555764, 43.0
1478135540745, 40.0
1478135525728, 37.0
1478135465704, 58.0
1478135450684, 58.0
1478135435664, 55.0
1478135420644, 52.0
1478135405624, 49.0
1478135390604, 46.0
1478135375584, 43.0
1478135360564, 40.0
1478135345551, 37.0
1478135285524, 58.0
1478135270504, 58.0
1478135255485, 55.0
1478135240465, 52.0
1478135225444, 49.0
1478135210424, 46.0
1478135195404, 43.0
1478135180384, 40.0
1478135165369, 37.0
1478135105345, 58.0
1478135090325, 58.0
1478135075304, 55.0
1478135060285, 52.0
1478135045264, 49.0
1478135030244, 46.0
1478135015224, 43.0
1478135000205, 40.0
1478134985189, 37.0
1478134925164, 58.0
1478134910144, 58.0
1478134895124, 55.0
1478134880105, 52.0
1478134865084, 49.0
1478134850064, 46.0
1478134835045, 43.0
1478134820025, 40.0
1478134805011, 37.0
1478134744985, 58.0
1478134729964, 58.0
1478134714949, 55.0
1478134699924, 52.0
1478134684906, 49.0
1478134669884, 46.0
1478134654865, 43.0
1478134639845, 40.0
1478134624833, 37.0
1478134564820, 62.0
1478134549791, 62.0
1478134469097, 63.0
1478134439050, 57.0
1478134408998, 51.0
1478134378960, 45.0
1478134348904, 39.0
1478134254374, 68.0
1478134224311, 56.0
1478134194234, 46.0
