Time,Server
1477955340264,1
1477955355280,1
1477955370302,1
1477955385381,2
1477955400410,1
1477955415436,2
1477955430456,1
1477955445481,2
1477955460507,1
1477955525777,1
1477955540789,1
1477955555808,1
1477955570829,1
1477955585848,1
1477955600867,1
1477955615889,1
1477955630911,1
1477955645919,1
1477955705947,1
1477955720969,1
1477955735990,1
1477955751009,1
1477955766028,1
1477955781049,1
1477955796069,1
1477955811088,1
1477955826110,1
1477955886135,1
1477955901147,1
1477955916167,1
1477955931190,1
