Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1477955910199,6.388048724993728,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955880187,5.800203060297019,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955850174,4.309930539438736,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955820150,5.028313949678161,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955790140,5.829246191565033,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955760120,4.56216577540107,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955730103,4.811048121197833,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955700080,4.3552073112737375,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955670062,6.348145673237554,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955640041,6.674598497028403,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955610033,5.2505923873748115,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955580017,5.274339685723838,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955550008,16.088481327298393,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955519977,7.589968796897587,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955489958,19.223947565656108,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955459930,12.229136291127775,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955429915,12.88271276595745,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955399894,19.516322458142103,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1477955372599,59.80392156862745,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
