Time,Pheromone
1478135421504, 52.0
1478135406484, 49.0
1478135391464, 46.0
1478135376445, 43.0
1478135361426, 40.0
1478135346413, 37.0
1478135286377, 58.0
1478135271355, 58.0
1478135256334, 55.0
1478135241314, 52.0
1478135226295, 49.0
1478135211275, 46.0
1478135196255, 43.0
1478135181234, 40.0
1478135166221, 37.0
1478135106184, 57.0
1478135091165, 57.0
1478135076154, 54.0
1478135061124, 51.0
1478135046104, 48.0
1478135031084, 45.0
1478135016065, 42.0
1478135001044, 39.0
1478134986034, 36.0
1478134816120, 44.0
1478134801092, 41.0
