Time,Pheromone
1478134553263, 32.0
1478134538243, 33.0
1478134523224, 34.0
1478134508203, 35.0
1478134493183, 36.0
1478134478164, 61.0
1478134463143, 62.0
1478134448123, 55.0
1478134433103, 56.0
1478134418083, 49.0
1478134403064, 50.0
1478134388043, 43.0
1478134373024, 44.0
1478134358004, 37.0
1478134342984, 38.0
1478134327963, 31.0
1478134312943, 32.0
1478134297923, 33.0
1478134282903, 34.0
1478134267884, 35.0
1478134252863, 36.0
1478134237843, 55.0
1478134222824, 52.0
1478134207804, 49.0
1478134192783, 46.0
1478134177764, 43.0
1478134162748, 40.0
