Time,AverageCPU,Sessions,Pheromone
60.01,2,0.08,0.5,64.97999999999999
120.01,2,0.16,1.0,63.98
180.01,2,0.255,1.5,65.76239999999999
240.01,2,0.4,2.5,64.76239999999999
300.01,2,0.4,2.5,66.02239999999999
360.01,2,0.4,2.5,65.02239999999999
420.01,2,0.32,2.5,66.53599999999999
480.01,2,0.32,2.0,65.53599999999999
540.01,2,0.32,2.0,67.0496
600.01,2,0.44000000000000006,2.0,66.0496
660.01,2,0.255,1.5,67.832
720.01,2,0.16,1.0,66.832
780.01,2,0.255,1.5,68.61439999999999
840.01,2,0.16,1.0,67.61439999999999
900.01,2,0.16,1.5,69.7744
960.01,2,0.4,2.0,68.7744
1020.01,2,0.4,2.5,70.03120000000001
1080.01,2,0.48,3.0,69.03120000000001
1140.01,2,0.32,2.0,70.54480000000001
1200.01,2,0.16,1.0,69.54480000000001
1260.01,2,0.16,1.0,71.7048
1320.01,1,0.16,0.5,70.7048
1380.01,1,0.16,0.5,73.18480000000002
1440.01,2,0.16,1.0,72.18480000000002
1500.01,2,0.16,1.0,74.34480000000002
1560.01,2,0.255,1.5,73.34480000000002
1620.01,2,0.16,1.0,75.50480000000003
1680.01,2,0.16,1.0,74.50480000000003
1740.01,2,0.44000000000000006,2.5,75.74320000000003
1800.01,2,0.56,3.0,74.74320000000003
1860.01,2,0.96,4.5,74.10960000000004
1920.01,2,0.56,3.5,73.10960000000004
1980.01,2,0.8400000000000001,4.0,72.94960000000006
2040.01,2,0.92,4.0,71.94960000000006
2100.01,2,0.7250000000000001,3.0,72.20960000000005
2160.01,2,0.255,1.5,71.20960000000005
2220.01,2,0.16,1.0,73.36960000000008
2280.01,0,NaN,0.0,72.36960000000008
2340.01,1,0.16,0.5,74.84960000000008
2400.01,1,0.16,1.0,73.84960000000008
2460.01,2,0.16,1.0,76.00960000000009
2520.01,2,0.16,1.0,75.00960000000009
2580.01,2,0.16,1.0,77.1696000000001
2640.01,2,0.255,1.5,76.1696000000001
2700.01,2,0.16,1.0,78.32960000000011
2760.01,2,0.255,1.5,77.32960000000011
2820.01,2,0.255,1.5,79.11200000000012
2880.01,2,0.255,1.5,78.11200000000012
2940.01,2,0.255,1.5,79.89440000000013
3000.01,2,0.32,2.0,78.89440000000013
3060.01,2,0.255,1.5,80.67680000000014
3120.01,2,0.16,1.0,79.67680000000014
3180.01,2,0.16,1.0,81.83680000000015
3240.01,2,0.16,1.0,80.83680000000015
3300.01,2,0.16,1.0,82.99680000000016
3360.01,2,0.255,1.5,81.99680000000016
3420.01,2,0.255,1.5,83.77920000000017
3480.01,2,0.255,1.5,82.77920000000017
3540.01,2,0.255,1.5,84.56160000000018
3600.01,1,0.16,1.0,83.56160000000018
3660.01,1,0.16,0.5,86.04160000000019
3720.01,2,0.255,1.5,85.04160000000019
3780.01,2,0.44000000000000006,2.5,86.2800000000002
3840.01,2,0.44000000000000006,2.5,85.2800000000002
3900.01,2,0.56,2.5,86.24640000000021
3960.01,2,0.44000000000000006,2.5,85.24640000000021
4020.01,2,0.44000000000000006,2.5,86.4848000000002
4080.01,2,0.92,4.0,85.4848000000002
4140.01,2,1.0,5.0,84.68480000000022
4200.01,2,0.8,4.5,83.68480000000022
4260.01,2,0.75,4.0,83.88800000000023
4320.01,2,0.28500000000000003,2.0,82.88800000000023
4380.01,1,0.16,0.5,85.36800000000024
4440.01,2,0.16,1.0,84.36800000000024
4500.01,2,0.44000000000000006,2.5,85.60640000000024
4560.01,2,0.56,3.0,84.60640000000024
4620.01,2,0.7250000000000001,3.5,84.86640000000025
4680.01,2,0.56,3.0,83.86640000000025
4740.01,2,0.255,1.5,85.64880000000025
4800.01,2,0.255,1.0,84.64880000000025
4860.01,1,0.16,0.5,87.12880000000027
4920.01,2,0.48,3.0,86.12880000000027
4980.01,2,0.48,3.0,87.12880000000027
5040.01,2,0.9299999999999999,4.0,86.12880000000027
5100.01,2,0.56,3.0,87.09520000000028
5160.01,2,0.92,4.0,86.09520000000028
5220.01,2,0.56,3.0,87.06160000000028
5280.01,2,0.7250000000000001,3.0,86.06160000000028
5340.01,2,0.255,1.5,87.84400000000029
5400.01,2,0.44000000000000006,2.0,86.84400000000029
5460.01,2,0.16,1.0,89.0040000000003
5520.01,2,0.255,1.5,88.0040000000003
5580.01,2,0.16,1.5,90.16400000000031
5640.01,2,0.4,2.5,89.16400000000031
5700.01,2,0.33499999999999996,2.0,90.62640000000033
5760.01,2,0.48,3.0,89.62640000000033
5820.01,2,0.255,1.5,91.40880000000033
5880.01,2,0.675,3.5,90.40880000000033
5940.01,2,0.675,4.0,90.77760000000035
6000.01,2,0.8,4.0,89.77760000000035
6060.01,2,0.5800000000000001,3.0,90.51760000000036
6120.01,2,0.4,2.5,89.51760000000036
6180.01,2,0.16,1.0,91.67760000000035
6240.01,2,0.44000000000000006,2.5,90.67760000000035
6300.01,2,0.645,3.0,91.25760000000037
6360.01,2,0.7250000000000001,3.5,90.25760000000037
6420.01,2,0.44000000000000006,2.5,91.49600000000038
6480.01,2,0.56,3.5,90.49600000000038
6540.01,2,0.44000000000000006,2.5,91.73440000000039
6600.01,2,0.44000000000000006,2.5,90.73440000000039
6660.01,2,0.255,1.5,92.5168000000004
6720.01,2,0.16,1.0,91.5168000000004
6780.01,2,0.24,1.5,93.35680000000042
6840.01,2,0.4,2.5,92.35680000000042
6900.01,2,0.62,3.5,92.93680000000042
6960.01,2,0.44000000000000006,2.5,91.93680000000042
7020.01,2,0.255,1.5,93.71920000000043
7080.01,2,0.16,1.0,92.71920000000043
7140.01,2,0.32,2.5,94.23280000000044
7200.01,2,0.675,3.5,93.23280000000044
7260.01,2,0.9550000000000001,5.5,92.61040000000045
7320.01,2,0.995,7.5,91.61040000000045
7380.01,2,1.0,8.0,90.81040000000047
7440.01,2,0.765,9.5,89.81040000000047
7500.01,2,0.63,11.0,90.29200000000048
7560.01,2,0.38,11.0,89.29200000000048
7620.01,2,0.5800000000000001,11.5,90.1752000000005
7680.01,2,0.7649999999999999,13.5,89.1752000000005
7740.01,2,0.985,14.5,88.4424000000005
7800.01,2,1.0,15.0,87.4424000000005
7860.01,2,0.62,15.5,87.95440000000053
7920.01,1,0.4,16.0,86.95440000000053
7980.01,2,0.33499999999999996,17.0,88.41680000000053
8040.01,2,0.4,17.5,87.41680000000053
8100.01,2,0.735,19.0,87.51680000000054
8160.01,2,0.9299999999999999,19.5,86.51680000000054
8220.01,2,0.92,19.0,86.03680000000055
8280.01,2,0.44000000000000006,18.0,85.03680000000055
8340.01,2,0.87,19.0,84.76480000000058
8400.01,2,1.0,22.0,83.76480000000058
8460.01,2,1.0,23.5,82.9648000000006
8520.01,2,1.0,25.0,81.9648000000006
8580.01,2,1.0,26.0,81.16480000000061
8640.01,2,0.735,27.5,80.16480000000061
8700.01,2,0.51,28.0,81.16480000000061
8760.01,2,0.64,30.0,80.16480000000061
8820.01,2,0.52,28.5,81.08320000000062
8880.01,2,0.36000000000000004,28.0,80.08320000000062
8940.01,2,0.32,28.5,81.59680000000063
9000.01,2,0.255,27.5,80.59680000000063
9060.01,2,0.675,29.5,80.96560000000063
9120.01,2,0.6599999999999999,29.5,79.96560000000063
9180.01,2,0.8,30.0,79.96560000000065
9240.01,2,0.9199999999999999,31.0,78.96560000000065
9300.01,2,0.935,31.5,78.42160000000067
9360.01,2,0.84,31.5,77.42160000000067
9420.01,2,0.825,32.5,77.31760000000067
9480.01,2,0.45999999999999996,32.5,76.31760000000067
9540.01,2,0.415,33.5,77.52000000000066
9600.01,2,0.255,33.5,76.52000000000066
9660.01,2,0.16,33.0,78.68000000000069
9720.01,2,0.33499999999999996,34.0,77.68000000000069
9780.01,2,0.4,34.5,78.94000000000068
9840.01,2,0.48,35.0,77.94000000000068
9900.01,2,0.48,35.0,78.94000000000068
9960.01,2,0.32,34.0,77.94000000000068
10020.01,2,0.44000000000000006,34.5,79.17840000000069
10080.01,2,0.32,34.0,78.17840000000069
10140.01,2,0.255,33.5,79.96080000000072
10200.01,2,0.32,34.5,78.96080000000072
10260.01,2,0.56,35.0,79.92720000000071
10320.01,2,0.92,36.0,78.92720000000071
10380.01,2,0.97,36.0,78.23920000000072
10440.01,2,0.56,35.0,77.23920000000072
10500.01,2,0.48,35.0,78.23920000000072
10560.01,2,0.77,36.0,77.23920000000072
10620.01,2,0.675,36.0,77.60800000000074
10680.01,2,0.9,36.5,76.60800000000074
10740.01,2,0.44000000000000006,34.5,77.84640000000076
10800.01,2,0.645,35.5,76.84640000000076
10860.01,2,1.0,37.0,76.04640000000077
10920.01,2,0.96,38.5,75.04640000000077
10980.01,2,1.0,39.5,74.24640000000079
11040.01,2,1.0,40.5,73.24640000000079
11100.01,2,0.465,41.5,74.36720000000079
11160.01,2,0.33,42.0,73.36720000000079
11220.01,2,0.52,43.5,74.28560000000081
11280.01,2,0.72,43.5,73.28560000000081
11340.01,2,0.9450000000000001,46.0,72.70800000000082
11400.01,2,0.9299999999999999,47.0,71.70800000000082
11460.01,2,0.94,47.5,71.15760000000083
11520.01,2,0.8200000000000001,48.5,70.15760000000083
11580.01,2,0.405,49.5,71.47520000000084
11640.01,2,0.74,51.5,70.47520000000084
11700.01,2,0.74,51.5,70.71520000000086
11760.01,2,0.87,52.0,69.71520000000086
11820.01,2,0.44000000000000006,50.5,70.95360000000088
11880.01,2,0.32,50.0,69.95360000000088
11940.01,2,0.44000000000000006,50.5,71.19200000000089
12000.01,2,0.255,49.5,70.19200000000089
12060.01,2,0.44000000000000006,51.0,71.4304000000009
12120.01,2,0.44000000000000006,50.5,70.4304000000009
12180.01,2,0.56,51.5,71.39680000000092
12240.01,2,0.7250000000000001,51.5,70.39680000000092
12300.01,2,0.92,52.0,69.91680000000093
12360.01,2,0.7250000000000001,51.0,68.91680000000093
12420.01,2,0.56,51.0,69.88320000000095
12480.01,2,0.44000000000000006,51.0,68.88320000000095
12540.01,2,0.7250000000000001,51.5,69.14320000000096
12600.01,2,0.56,51.0,68.14320000000096
12660.01,2,0.44000000000000006,50.5,69.38160000000097
12720.01,2,0.87,52.0,68.38160000000097
12780.01,2,1.0,53.0,67.58160000000099
12840.01,2,0.77,53.0,66.58160000000099
12900.01,2,0.7849999999999999,53.0,66.63760000000102
12960.01,2,0.5249999999999999,50.5,65.63760000000102
13020.01,2,0.5650000000000001,51.0,66.39840000000102
13080.01,2,0.44,50.0,65.39840000000102
13140.01,2,0.255,49.5,67.18080000000104
13200.01,2,0.16,49.0,66.18080000000104
