Time,AverageCPU,Sessions,Pheromone
60.01,2,0.0,0.0,65.3
120.01,2,0.16,1.0,64.3
180.01,2,0.16,1.0,66.46
240.01,2,0.16,1.0,65.46
300.01,2,0.16,1.0,67.61999999999999
360.01,2,0.08,0.5,66.61999999999999
420.01,2,0.16,1.0,68.77999999999999
480.01,1,0.16,0.5,67.77999999999999
540.01,2,0.16,1.0,69.93999999999998
600.01,2,0.255,1.5,68.93999999999998
660.01,2,0.32,2.0,70.45359999999998
720.01,2,0.255,1.5,69.45359999999998
780.01,2,0.32,2.0,70.96719999999998
840.01,2,0.33499999999999996,2.0,69.96719999999998
900.01,2,0.33499999999999996,2.0,71.42959999999997
960.01,2,0.16,1.0,70.42959999999997
1020.01,2,0.26,1.5,72.18959999999997
1080.01,2,0.16,1.0,71.18959999999997
1140.01,2,0.32,2.0,72.70319999999997
1200.01,2,0.32,2.0,71.70319999999997
1260.01,2,0.255,1.5,73.48559999999996
1320.01,2,0.16,1.0,72.48559999999996
1380.01,2,0.255,1.5,74.26799999999996
1440.01,2,0.4,2.5,73.26799999999996
1500.01,2,0.33499999999999996,2.0,74.73039999999995
1560.01,2,0.24,1.5,73.73039999999995
1620.01,2,0.16,1.0,75.89039999999994
1680.01,0,NaN,0.0,74.89039999999994
1740.01,0,NaN,0.0,77.69039999999995
1800.01,0,NaN,0.0,76.69039999999995
1860.01,0,NaN,0.0,79.49039999999994
1920.01,0,NaN,0.0,78.49039999999994
1980.01,1,0.16,0.5,80.97039999999994
2040.01,1,0.16,0.5,79.97039999999994
2100.01,1,0.16,0.5,82.45039999999995
2160.01,0,NaN,0.0,81.45039999999995
2220.01,1,0.16,0.5,83.93039999999993
2280.01,2,0.16,1.0,82.93039999999993
2340.01,2,0.255,1.5,84.71279999999993
2400.01,2,0.44000000000000006,3.0,83.71279999999993
2460.01,2,0.32,2.0,85.22639999999993
2520.01,2,0.255,1.5,84.22639999999993
2580.01,2,0.255,1.0,86.00879999999992
2640.01,1,0.16,0.5,85.00879999999992
2700.01,2,0.16,1.0,87.16879999999992
2760.01,2,0.44000000000000006,2.5,86.16879999999992
2820.01,2,0.7250000000000001,4.0,86.42879999999991
2880.01,2,0.92,4.0,85.42879999999991
2940.01,2,0.92,4.0,84.94879999999992
3000.01,2,0.56,3.0,83.94879999999992
3060.01,2,0.56,3.0,84.91519999999991
3120.01,2,0.32,2.0,83.91519999999991
3180.01,2,0.32,2.0,85.42879999999992
3240.01,2,0.7250000000000001,3.5,84.42879999999992
3300.01,2,0.56,2.5,85.39519999999993
3360.01,2,0.56,3.5,84.39519999999993
3420.01,2,0.64,2.5,85.04159999999993
3480.01,2,0.44000000000000006,2.5,84.04159999999993
3540.01,2,0.32,2.0,85.55519999999996
3600.01,2,0.16,1.0,84.55519999999996
3660.01,2,0.255,1.0,86.33759999999995
3720.01,1,0.16,0.5,85.33759999999995
3780.01,1,0.16,0.5,87.81759999999997
3840.01,1,0.16,0.5,86.81759999999997
3900.01,2,0.16,1.0,88.97759999999998
3960.01,2,0.44000000000000006,2.5,87.97759999999998
4020.01,2,0.44000000000000006,2.5,89.21599999999998
4080.01,2,0.32,2.0,88.21599999999998
4140.01,2,0.255,1.5,89.9984
4200.01,2,0.32,2.0,88.9984
4260.01,2,0.44000000000000006,2.5,90.2368
4320.01,2,0.7250000000000001,3.5,89.2368
4380.01,2,0.44000000000000006,2.5,90.4752
4440.01,2,0.32,2.0,89.4752
4500.01,2,0.44000000000000006,2.0,90.71360000000001
4560.01,2,0.255,1.5,89.71360000000001
4620.01,2,0.16,1.0,91.87360000000002
4680.01,0,NaN,0.0,90.87360000000002
4740.01,2,0.16,1.0,93.03360000000004
4800.01,2,0.16,1.0,92.03360000000004
4860.01,2,0.32,2.0,93.54720000000005
4920.01,2,0.255,1.5,92.54720000000005
4980.01,2,0.255,1.5,94.32960000000006
5040.01,2,0.16,1.0,93.32960000000006
5100.01,2,0.255,1.5,95.11200000000007
5160.01,2,0.32,2.0,94.11200000000007
5220.01,2,0.255,1.5,95.89440000000008
5280.01,2,0.32,2.0,94.89440000000008
5340.01,2,0.255,1.0,96.67680000000009
5400.01,2,0.16,1.0,95.67680000000009
5460.01,1,0.16,0.5,98.15680000000009
5520.01,2,0.16,1.0,97.15680000000009
5580.01,2,0.32,2.0,98.67040000000011
5640.01,2,0.87,4.0,97.67040000000011
5700.01,2,0.9650000000000001,4.5,97.01120000000012
5760.01,2,0.9299999999999999,4.5,96.01120000000012
5820.01,2,0.56,3.0,96.97760000000012
5880.01,2,0.44000000000000006,2.0,95.97760000000012
5940.01,2,0.32,2.0,97.49120000000013
6000.01,2,0.44000000000000006,2.5,96.49120000000013
6060.01,2,0.44000000000000006,2.5,97.72960000000015
6120.01,2,0.8049999999999999,3.5,96.72960000000015
6180.01,2,0.87,4.0,96.45760000000016
6240.01,2,0.87,4.0,95.45760000000016
6300.01,2,0.86,4.0,95.22720000000015
6360.01,2,0.93,4.0,94.22720000000015
6420.01,2,0.62,3.5,94.80720000000017
6480.01,2,0.255,1.5,93.80720000000017
6540.01,2,0.44000000000000006,2.5,95.04560000000018
6600.01,2,0.44000000000000006,2.5,94.04560000000018
6660.01,2,0.7250000000000001,3.0,94.30560000000018
6720.01,2,0.32,2.0,93.30560000000018
6780.01,2,0.44000000000000006,2.5,94.5440000000002
6840.01,2,0.255,1.5,93.5440000000002
6900.01,2,0.32,2.0,95.0576000000002
6960.01,2,0.32,2.0,94.0576000000002
7020.01,2,0.255,1.5,95.84000000000022
7080.01,2,0.255,1.5,94.84000000000022
7140.01,2,0.32,2.0,96.35360000000023
7200.01,2,0.44000000000000006,2.5,95.35360000000023
7260.01,2,0.8049999999999999,3.5,95.32480000000024
7320.01,2,0.92,4.0,94.32480000000024
7380.01,2,0.92,4.0,93.84480000000025
7440.01,2,0.7250000000000001,3.5,92.84480000000025
7500.01,2,0.56,3.0,93.81120000000026
7560.01,2,0.645,3.5,92.81120000000026
7620.01,2,1.0,4.5,92.01120000000026
7680.01,2,1.0,5.0,91.01120000000026
7740.01,2,1.0,7.0,90.21120000000028
7800.01,2,0.79,8.5,89.21120000000028
7860.01,2,1.0,10.0,88.41120000000029
7920.01,2,0.745,11.0,87.41120000000029
7980.01,2,0.99,13.0,86.6592000000003
8040.01,2,1.0,14.5,85.6592000000003
8100.01,2,0.845,14.5,85.4800000000003
8160.01,2,0.54,16.5,84.4800000000003
8220.01,2,0.5,16.5,85.48800000000031
8280.01,2,0.58,17.0,84.48800000000031
8340.01,2,0.61,16.5,85.04000000000033
8400.01,2,0.56,16.5,84.04000000000033
8460.01,2,0.35000000000000003,15.5,85.62000000000033
8520.01,2,0.32,15.5,84.62000000000033
8580.01,2,0.44000000000000006,16.0,85.86160000000035
8640.01,2,0.62,17.0,84.86160000000035
8700.01,2,0.7250000000000001,17.0,85.12160000000034
8760.01,2,0.645,17.0,84.12160000000034
8820.01,2,0.62,17.0,84.70160000000035
8880.01,2,0.48,17.0,83.70160000000035
8940.01,2,0.8,17.5,83.70000000000036
9000.01,2,1.0,18.5,82.70000000000036
9060.01,2,1.0,19.0,81.90000000000038
9120.01,2,1.0,19.5,80.90000000000038
9180.01,2,0.52,21.0,81.83120000000036
9240.01,2,0.5449999999999999,21.5,80.83120000000036
9300.01,2,0.62,22.0,81.35120000000038
9360.01,2,0.72,23.0,80.35120000000038
9420.01,2,0.985,25.0,79.61520000000039
9480.01,2,1.0,27.0,78.61520000000039
9540.01,2,1.0,27.5,77.81520000000039
9600.01,2,0.81,28.5,76.81520000000039
9660.01,2,0.22999999999999998,29.5,78.69840000000039
9720.01,2,0.33,29.5,77.69840000000039
9780.01,1,0.95,30.0,78.7976000000004
9840.01,2,0.54,30.5,77.7976000000004
9900.01,2,0.62,31.0,78.31760000000041
9960.01,2,0.44000000000000006,30.5,77.31760000000041
10020.01,2,0.56,31.0,78.28400000000042
10080.01,2,0.48,30.5,77.28400000000042
10140.01,2,0.4,30.5,78.54080000000042
10200.01,2,0.9,32.5,77.54080000000042
10260.01,2,0.97,33.0,76.87200000000044
10320.01,2,0.7250000000000001,32.5,75.87200000000044
10380.01,2,0.345,32.0,77.28320000000045
10440.01,0,NaN,31.0,76.28320000000045
10500.01,2,0.16,32.5,78.44320000000046
10560.01,2,0.56,34.0,77.44320000000046
10620.01,2,1.0,36.5,76.64320000000046
10680.01,2,0.9299999999999999,37.0,75.64320000000046
10740.01,2,0.89,38.5,75.28000000000048
10800.01,2,0.99,39.5,74.28000000000048
10860.01,2,0.81,40.5,74.24160000000049
10920.01,2,0.6699999999999999,42.0,73.24160000000049
10980.01,2,0.76,44.0,73.3416000000005
11040.01,2,1.0,46.0,72.3416000000005
