Time,AverageCPU,Sessions,Pheromone
0.01,2,0.0,0.0,NaN
0.01,0,NaN,NaN,NaN
60.01,1,0.16,1.0,NaN
120.01,1,0.92,4.0,NaN
180.01,1,1.0,5.0,NaN
180.01,0,NaN,NaN,NaN
240.01,2,0.5549999999999999,3.0,NaN
300.01,2,0.76,3.5,NaN
360.01,2,0.59,3.0,NaN
420.01,2,0.74,4.5,NaN
480.01,2,0.27,2.0,NaN
540.01,2,0.33999999999999997,2.5,NaN
600.01,2,0.305,2.0,NaN
660.01,2,0.335,2.0,NaN
720.01,2,0.4,2.5,NaN
780.01,2,0.255,1.5,NaN
840.01,2,0.255,1.5,NaN
900.01,2,0.16,1.0,NaN
960.01,2,0.255,1.5,NaN
1020.01,2,0.255,1.5,NaN
1080.01,2,0.44000000000000006,2.5,NaN
1140.01,2,0.44000000000000006,2.5,NaN
1200.01,2,0.56,3.0,NaN
1260.01,2,0.56,2.5,NaN
1320.01,2,0.16,1.0,NaN
1380.01,1,0.16,0.5,NaN
1380.01,0,NaN,NaN,NaN
1440.01,0,NaN,0.0,NaN
1500.01,0,NaN,0.0,NaN
1560.01,1,0.16,1.0,NaN
1620.01,1,0.36,2.0,NaN
1680.01,1,0.36,2.0,NaN
1740.01,1,0.92,4.0,NaN
1740.01,0,NaN,NaN,NaN
1800.01,2,0.28,1.5,NaN
1860.01,2,0.54,2.5,NaN
1920.01,2,0.44000000000000006,2.0,NaN
1980.01,2,0.44000000000000006,2.5,NaN
2040.01,2,0.255,1.5,NaN
2100.01,2,0.16,1.0,NaN
2160.01,2,0.16,1.0,NaN
2220.01,2,0.16,1.0,NaN
2280.01,2,0.255,2.0,NaN
2340.01,2,0.32,2.0,NaN
2400.01,2,0.16,1.0,NaN
2460.01,2,0.16,1.0,NaN
2520.01,2,0.16,1.0,NaN
2580.01,2,0.255,1.5,NaN
2640.01,2,0.32,2.0,NaN
2700.01,2,0.56,2.5,NaN
2760.01,2,0.44000000000000006,2.5,NaN
2820.01,2,0.32,2.0,NaN
2880.01,2,0.32,2.5,NaN
2940.01,2,0.33499999999999996,2.0,NaN
3000.01,2,0.33499999999999996,2.0,NaN
3060.01,2,0.24,1.5,NaN
3120.01,2,0.26,1.5,NaN
3180.01,1,0.16,0.5,NaN
3180.01,0,NaN,NaN,NaN
3240.01,1,0.16,1.0,NaN
3300.01,1,0.92,4.0,NaN
3360.01,1,0.94,6.0,NaN
3360.01,0,NaN,NaN,NaN
3420.01,2,0.78,4.5,NaN
3480.01,2,0.86,6.0,NaN
3540.01,2,0.635,6.5,NaN
3600.01,2,0.74,7.5,NaN
3660.01,2,0.74,9.0,NaN
3720.01,2,0.62,9.0,NaN
3780.01,2,0.32,8.5,NaN
3840.01,2,0.32,8.0,NaN
3900.01,2,0.16,7.0,NaN
3960.01,2,0.255,7.5,NaN
4020.01,1,0.16,6.5,NaN
4020.01,0,NaN,NaN,NaN
4080.01,1,0.16,7.0,NaN
4140.01,1,0.16,7.0,NaN
4200.01,0,NaN,6.0,NaN
4260.01,1,0.16,7.0,NaN
4320.01,1,0.76,10.0,NaN
4380.01,1,0.94,12.0,NaN
4380.01,0,NaN,NaN,NaN
4440.01,2,0.5,6.0,NaN
4500.01,2,0.28,6.5,NaN
4560.01,1,0.56,7.5,NaN
4620.01,2,0.36000000000000004,8.0,NaN
4680.01,2,0.66,9.5,NaN
4740.01,2,0.44000000000000006,8.5,NaN
4800.01,2,0.7250000000000001,9.5,NaN
4860.01,2,0.44000000000000006,8.5,NaN
4920.01,2,0.32,8.0,NaN
4980.01,2,0.255,7.5,NaN
5040.01,2,0.255,7.5,NaN
5100.01,2,0.32,8.0,NaN
5160.01,2,0.56,8.5,NaN
5220.01,2,0.7250000000000001,9.5,NaN
5280.01,2,0.56,9.0,NaN
5340.01,2,0.92,9.5,NaN
5340.01,0,NaN,NaN,NaN
5400.01,3,0.37333333333333335,6.0,NaN
5460.01,3,0.4266666666666667,6.666666666666667,NaN
5520.01,3,0.5133333333333333,7.0,NaN
5580.01,3,0.6933333333333334,7.333333333333333,NaN
5640.01,3,0.48666666666666664,6.666666666666667,NaN
5700.01,3,0.37333333333333335,6.333333333333333,NaN
5760.01,3,0.32,6.0,NaN
5820.01,3,0.2733333333333334,5.666666666666667,NaN
5880.01,3,0.32,6.333333333333333,NaN
5940.01,3,0.5733333333333334,7.333333333333333,NaN
6000.01,3,0.48666666666666664,7.333333333333333,NaN
6060.01,3,0.48666666666666664,7.0,NaN
6120.01,3,0.48666666666666664,7.0,NaN
6180.01,3,0.5733333333333334,7.333333333333333,NaN
6240.01,3,0.7100000000000001,8.0,NaN
6300.01,3,0.7533333333333333,8.0,NaN
6360.01,3,0.4266666666666667,7.0,NaN
6420.01,3,0.4266666666666667,6.333333333333333,NaN
6480.01,3,0.32,6.0,NaN
6540.01,3,0.16,5.0,NaN
6600.01,3,0.26666666666666666,5.666666666666667,NaN
6660.01,3,0.43333333333333335,6.333333333333333,NaN
6720.01,3,0.43333333333333335,6.666666666666667,NaN
6780.01,3,0.38999999999999996,6.333333333333333,NaN
6840.01,3,0.26666666666666666,5.666666666666667,NaN
6900.01,3,0.32,6.0,NaN
6960.01,3,0.32,6.0,NaN
7020.01,3,0.32,6.0,NaN
7080.01,3,0.39000000000000007,6.333333333333333,NaN
7140.01,3,0.43333333333333335,6.666666666666667,NaN
7200.01,3,0.32,6.0,NaN
7260.01,3,0.32,6.0,NaN
7320.01,3,0.43333333333333335,7.0,NaN
7380.01,3,0.6133333333333333,7.333333333333333,NaN
7440.01,3,0.6133333333333333,7.333333333333333,NaN
7500.01,3,0.6133333333333333,7.333333333333333,NaN
7560.01,3,0.39000000000000007,6.333333333333333,NaN
7620.01,3,0.26666666666666666,5.666666666666667,NaN
7680.01,3,0.32,6.0,NaN
7740.01,3,0.6133333333333333,7.666666666666667,NaN
7800.01,3,0.6133333333333333,7.666666666666667,NaN
7860.01,3,0.6133333333333333,7.333333333333333,NaN
7920.01,3,0.39000000000000007,6.333333333333333,NaN
7980.01,3,0.26666666666666666,5.666666666666667,NaN
8040.01,3,0.22,5.333333333333333,NaN
8100.01,3,0.32,6.0,NaN
8160.01,3,0.32,6.0,NaN
8220.01,3,0.26666666666666666,5.666666666666667,NaN
8280.01,3,0.22,5.333333333333333,NaN
8340.01,3,0.32,6.0,NaN
8400.01,3,0.32,6.0,NaN
8460.01,3,0.26666666666666666,6.0,NaN
8520.01,3,0.32,6.0,NaN
8580.01,3,0.52,7.0,NaN
8640.01,3,0.6666666666666666,7.666666666666667,NaN
8700.01,3,0.6133333333333333,7.333333333333333,NaN
8760.01,3,0.43333333333333335,6.666666666666667,NaN
8820.01,3,0.39000000000000007,6.333333333333333,NaN
8880.01,3,0.5666666666666667,7.666666666666667,NaN
8940.01,3,0.6266666666666666,7.0,NaN
9000.01,3,0.43333333333333335,6.666666666666667,NaN
9060.01,3,0.7533333333333333,8.0,NaN
9120.01,3,0.6533333333333333,7.666666666666667,NaN
9180.01,3,0.7100000000000001,8.333333333333334,NaN
9240.01,3,0.69,8.666666666666666,NaN
9300.01,3,0.7633333333333333,8.333333333333334,NaN
9360.01,3,0.6566666666666666,8.333333333333334,NaN
9420.01,3,0.6833333333333332,9.333333333333334,NaN
9480.01,3,0.8633333333333333,10.333333333333334,NaN
9480.01,0,NaN,NaN,NaN
9540.01,4,0.7,8.25,NaN
9600.01,4,0.6325,8.0,NaN
9660.01,4,0.6125,8.5,NaN
9720.01,4,0.395,8.0,NaN
9780.01,4,0.35,8.0,NaN
9840.01,4,0.4,8.0,NaN
9900.01,4,0.2,7.25,NaN
9960.01,4,0.36250000000000004,8.0,NaN
10020.01,4,0.4,8.0,NaN
10080.01,4,0.32,7.75,NaN
10140.01,4,0.24,7.25,NaN
10200.01,4,0.24000000000000002,7.5,NaN
10260.01,4,0.32,8.0,NaN
10320.01,4,0.48,8.75,NaN
10380.01,4,0.5800000000000001,9.0,NaN
10440.01,4,0.3625,8.0,NaN
10500.01,4,0.3825,8.25,NaN
10560.01,4,0.3825,8.0,NaN
10620.01,4,0.36,8.25,NaN
10680.01,4,0.4625,8.75,NaN
