Time,Servers,AverageCPU,Sessions,Pheromone
1.01,2,0.0,0.0,60.3
61.01,2,0.27,2.0,66.83333333333333
121.01,2,0.27,2.0,72.1
181.01,2,0.425,3.0,73.08933333333333
241.01,2,0.27,2.0,77.47866666666667
301.01,2,0.425,3.0,80.50133333333332
361.01,2,0.48000000000000004,4.0,82.828
421.01,2,0.54,4.0,84.83333333333331
481.01,2,0.665,5.0,85.09466666666665
541.01,2,0.665,5.0,84.85733333333332
601.01,2,0.48000000000000004,3.0,85.90799999999999
661.01,2,0.27,1.0,87.04933333333332
721.01,2,0.135,1.0,92.8493333333333
781.01,2,0.0,0.0,64.83333333333333
841.01,2,0.0,0.0,76.03333333333332
901.01,2,0.27,2.0,85.63333333333331
961.01,2,0.665,5.0,86.3613333333333
1021.01,2,0.8,6.0,85.69999999999999
1081.01,2,0.8,6.0,83.21733333333331
1141.01,2,0.665,5.0,81.34133333333332
1201.01,2,0.54,4.0,83.23333333333332
1261.01,2,0.425,3.0,85.868
1321.01,2,0.425,3.0,86.60666666666665
1381.01,2,0.27,2.0,89.60666666666665
1441.01,1,0.43,2.0,63.233333333333334
1501.01,1,0.27,1.0,67.16666666666666
1561.01,1,0.27,1.0,72.43333333333332
1621.01,1,0.6,2.0,73.76666666666665
1681.01,1,0.27,1.0,77.83333333333331
1741.01,1,0.8,4.0,80.97199999999998
1801.01,1,0.8,3.0,77.30533333333331
1861.01,1,0.8,3.0,74.44933333333331
1921.01,1,0.8,3.0,70.91599999999998
1981.01,1,0.73,3.0,68.71599999999998
2041.01,1,0.94,4.0,65.35866666666665
2101.01,1,1.0,5.0,61.55866666666665
2161.01,1,0.94,3.0,57.758666666666656
2221.01,1,0.83,4.0,54.62533333333332
2281.01,1,0.8,4.0,52.158666666666655
2341.01,1,1.0,5.0,48.62533333333332
2401.01,1,0.97,3.0,44.825333333333326
2461.01,1,0.77,2.0,41.969333333333324
2521.01,1,0.27,1.0,42.035999999999994
2581.01,1,0.97,4.0,45.04133333333333
2641.01,1,1.0,5.0,41.37466666666666
2701.01,1,0.91,5.0,37.73466666666666
2761.01,1,0.6,3.0,34.267999999999994
2821.01,1,0.3,2.0,32.267999999999994
2881.01,1,0.6,2.0,32.47599999999999
2941.01,1,0.6,2.0,32.54266666666666
3001.01,1,0.8,3.0,32.41466666666667
3061.01,1,0.6,2.0,28.748
3121.01,1,0.6,2.0,26.814666666666668
3181.01,1,0.8,3.0,28.092000000000002
3241.01,3,0.3233333333333333,4.0,60.144444444444446
3301.01,3,0.4333333333333333,6.0,56.544444444444444
3361.01,3,0.6433333333333334,9.0,55.922222222222224
3421.01,3,0.5533333333333333,7.0,54.83333333333334
3481.01,3,0.36999999999999994,4.0,57.881333333333345
3541.01,3,0.40666666666666673,4.0,59.193333333333335
3601.01,3,0.27,3.0,62.81822222222223
3661.01,3,0.27,3.0,68.0848888888889
3721.01,3,0.18000000000000002,2.0,73.52933333333334
3781.01,3,0.18000000000000002,2.0,79.32933333333334
3841.01,3,0.36999999999999994,4.0,84.95155555555556
3901.01,3,0.44333333333333336,5.0,89.53022222222222
3961.01,3,0.5533333333333333,7.0,92.06355555555554
4021.01,2,0.665,5.0,58.244
4081.01,2,0.425,3.0,58.36266666666666
4141.01,2,0.425,3.0,59.77066666666666
4201.01,2,0.425,3.0,62.230666666666664
4261.01,2,0.8,6.0,61.512
