Time,Servers,AverageCPU,Sessions,Pheromone
1.01,2,0.0,0.0,60.3
61.01,2,0.0,0.0,68.69999999999999
121.01,2,0.135,1.0,78.83333333333331
181.01,2,0.135,1.0,85.43333333333331
241.01,1,0.6,2.0,60.1
301.01,1,0.6,2.0,60.76666666666667
361.01,1,0.8,3.0,59.97733333333334
421.01,1,0.8,3.0,57.78800000000001
481.01,1,0.6,2.0,57.393333333333345
541.01,1,0.27,1.0,58.19333333333335
601.01,1,0.0,0.0,60.19333333333335
661.01,1,0.0,0.0,71.39333333333335
721.01,1,0.0,0.0,82.59333333333333
781.01,1,0.0,0.0,93.79333333333332
841.01,1,0.0,0.0,101.19333333333331
901.01,1,0.27,1.0,111.85999999999997
961.01,1,0.27,1.0,117.12666666666664
1021.01,1,0.6,2.0,117.52666666666663
1081.01,1,0.8,3.0,116.67066666666663
1141.01,1,0.8,3.0,115.27066666666663
1201.01,1,0.8,3.0,112.27599999999997
1261.01,1,0.97,5.0,110.41999999999996
1321.01,1,1.0,5.0,106.61999999999996
1381.01,1,0.8,3.0,104.29199999999996
1441.01,1,0.6,2.0,100.62533333333329
1501.01,1,0.6,2.0,101.29199999999994
1561.01,1,0.6,2.0,101.42533333333327
1621.01,1,0.27,1.0,102.7586666666666
1681.01,1,0.0,0.0,108.5586666666666
1741.01,1,0.27,1.0,119.75866666666658
1801.01,1,0.27,1.0,125.02533333333325
1861.01,1,0.6,2.0,130.29199999999992
1921.01,1,0.8,3.0,130.42533333333324
1981.01,1,0.6,2.0,127.56933333333325
2041.01,1,0.6,2.0,130.30266666666657
2101.01,1,0.0,0.0,132.30266666666657
2161.01,1,0.4,2.0,134.0
2221.01,1,0.4,2.0,134.0
2281.01,1,0.94,4.0,132.088
2341.01,1,0.6,2.0,129.888
2401.01,1,0.8,3.0,129.032
2461.01,1,0.97,4.0,126.84266666666667
2521.01,1,0.97,6.0,123.176
2581.01,1,1.0,5.0,119.51466666666667
2641.01,1,1.0,6.0,115.71466666666667
2701.01,1,0.77,2.0,112.19200000000001
2761.01,1,0.17,2.0,113.12533333333334
2821.01,1,0.93,4.0,111.45866666666667
2881.01,1,0.6,2.0,109.25866666666667
2941.01,1,0.8,3.0,108.40266666666668
3001.01,1,0.27,1.0,107.66933333333334
3061.01,1,0.27,1.0,112.936
3121.01,1,0.0,0.0,118.736
3181.01,1,0.27,1.0,129.40266666666668
3241.01,1,0.27,1.0,134.66933333333336
3301.01,1,0.6,2.0,135.0
3361.01,1,0.6,2.0,133.0
3421.01,1,0.27,1.0,135.0
3481.01,1,0.27,1.0,135.0
3541.01,1,0.6,2.0,135.0
3601.01,1,0.94,4.0,133.42133333333334
3661.01,1,0.73,3.0,130.064
3721.01,1,1.0,5.0,126.264
3781.01,1,1.0,3.0,122.464
3841.01,1,1.0,9.0,118.664
3901.01,1,1.0,8.0,114.864
3961.01,1,1.0,12.0,111.06400000000001
4021.01,1,1.0,10.0,107.26400000000001
4081.01,1,1.0,8.0,103.46400000000001
4141.01,1,1.0,9.0,99.66400000000002
4201.01,1,1.0,6.0,95.86400000000002
4261.01,1,1.0,5.0,92.06400000000002
4321.01,1,1.0,7.0,88.26400000000002
4381.01,1,1.0,5.0,84.46400000000003
4441.01,1,0.75,4.0,82.01333333333336
4501.01,1,0.99,5.0,78.21333333333337
4561.01,1,1.0,7.0,74.41333333333337
4621.01,1,1.0,8.0,70.61333333333337
4681.01,1,1.0,8.0,66.81333333333338
4741.01,1,1.0,8.0,63.01333333333338
4801.01,1,1.0,8.0,59.21333333333338
4861.01,1,1.0,11.0,55.413333333333384
4921.01,1,1.0,8.0,51.61333333333339
4981.01,1,1.0,13.0,47.81333333333339
5041.01,1,1.0,12.0,44.01333333333339
5101.01,1,1.0,10.0,40.213333333333395
5161.01,1,1.0,6.0,36.4133333333334
5221.01,1,0.52,4.0,34.4133333333334
5281.01,1,0.67,3.0,35.21066666666674
5341.01,1,0.8,3.0,34.88266666666674
5401.01,1,0.97,5.0,31.21600000000008
5461.01,1,0.97,7.0,27.416000000000082
5521.01,2,0.495,5.0,58.632000000000005
5581.01,2,0.32,3.0,59.396
5641.01,2,0.0,1.0,61.73466666666667
5701.01,2,0.135,1.0,72.13466666666667
5761.01,2,0.27,2.0,77.93466666666666
5821.01,2,0.27,2.0,83.20133333333334
5881.01,2,0.8,6.0,83.65199999999999
5941.01,2,0.875,8.0,80.99733333333333
6001.01,2,0.995,10.0,77.228
6061.01,2,0.825,7.0,73.888
6121.01,2,0.74,7.0,71.20133333333334
6181.01,2,0.54,4.0,70.596
6241.01,2,0.54,4.0,71.02133333333336
6301.01,2,0.27,2.0,71.44666666666669
6361.01,2,0.345,3.0,75.56933333333336
6421.01,2,0.665,5.0,75.69733333333338
6481.01,2,0.98,9.0,72.91600000000005
6541.01,2,0.98,11.0,69.27066666666673
6601.01,2,0.645,8.0,65.59333333333339
6661.01,2,1.0,10.0,62.06266666666674
6721.01,2,0.52,5.0,58.52400000000007
6781.01,2,0.52,5.0,58.592000000000084
6841.01,2,0.135,1.0,60.1840000000001
6901.01,2,0.0,0.0,66.78400000000013
6961.01,2,0.0,0.0,77.98400000000018
7021.01,2,0.135,1.0,84.31733333333354
7081.01,1,0.27,1.0,59.23333333333334
7141.01,1,0.6,2.0,60.30000000000002
7201.01,1,0.27,1.0,64.30000000000003
7261.01,1,0.93,6.0,60.72133333333336
7321.01,1,1.0,7.0,56.921333333333365
7381.01,1,1.0,10.0,53.12133333333337
7441.01,1,1.0,9.0,49.32133333333337
7501.01,1,1.0,9.0,45.521333333333374
7561.01,1,1.0,7.0,41.72133333333338
7621.01,1,1.0,10.0,37.92133333333338
7681.01,1,1.0,8.0,34.12133333333338
7741.01,1,1.0,7.0,30.321333333333385
7801.01,1,0.35,3.0,26.52133333333339
7861.01,1,0.53,2.0,27.870666666666736
7921.01,1,0.8,3.0,28.004000000000083
7981.01,1,1.0,5.0,25.14800000000009
8041.01,2,0.62,7.0,56.6
8101.01,2,0.6599999999999999,6.0,56.712
8161.01,2,0.665,6.0,53.786666666666676
8221.01,2,0.67,7.0,52.69333333333335
8281.01,2,0.875,7.0,50.160000000000025
8341.01,2,0.7949999999999999,10.0,47.41200000000003
8401.01,2,0.78,10.0,43.978666666666705
8461.01,2,1.0,11.0,40.30400000000004
8521.01,2,0.745,6.0,36.50400000000005
8581.01,2,0.58,6.0,34.10666666666671
8641.01,2,0.515,5.0,33.06800000000005
8701.01,2,0.575,5.0,32.77333333333338
8761.01,2,0.945,8.0,31.276000000000057
8821.01,2,0.915,9.0,27.934666666666722
8881.01,2,1.0,14.0,24.334666666666728
8941.01,3,0.6666666666666666,14.0,58.900000000000006
9001.01,3,0.58,9.0,55.20311111111113
9061.01,3,0.5566666666666666,12.0,53.85377777777779
9121.01,3,0.4266666666666667,6.0,51.920444444444456
9181.01,3,0.5033333333333333,7.0,54.16755555555557
9241.01,3,0.36000000000000004,4.0,54.95600000000002
9301.01,3,0.48666666666666664,6.0,55.97911111111114
9361.01,3,0.6133333333333334,7.0,58.26800000000003
9421.01,3,0.6699999999999999,8.0,57.83866666666669
9481.01,3,0.5533333333333333,7.0,55.871555555555574
9541.01,3,0.53,6.0,55.80755555555558
9601.01,3,0.7166666666666667,10.0,54.629777777777804
9661.01,3,0.8733333333333334,12.0,53.668000000000035
9721.01,3,0.87,12.0,50.38533333333337
9781.01,3,0.87,12.0,47.083111111111144
9841.01,3,0.85,10.0,44.29377777777781
9901.01,3,0.6133333333333334,7.0,42.953333333333376
9961.01,3,0.6466666666666666,7.0,42.23688888888893
10021.01,3,0.6699999999999999,8.0,42.66800000000004
10081.01,3,0.6133333333333334,7.0,43.29911111111115
10141.01,3,0.48666666666666664,5.0,40.56933333333338
10201.01,3,0.53,6.0,42.96933333333339
10261.01,3,0.7333333333333334,11.0,42.477777777777824
10321.01,3,0.77,11.0,40.31333333333339
10381.01,3,0.7266666666666667,11.0,38.08933333333339
10441.01,3,0.6066666666666666,10.0,35.71511111111117
10501.01,3,0.61,7.0,33.97822222222228
10561.01,3,0.7166666666666668,9.0,33.796000000000056
10621.01,3,0.7666666666666666,10.0,31.396888888888952
10681.01,3,0.8733333333333334,12.0,28.486666666666736
10741.01,3,0.77,9.0,25.0982222222223
10801.01,3,0.9166666666666666,15.0,22.62977777777785
10861.01,3,0.91,14.0,20.17866666666673
10921.01,4,0.475,11.0,56.306
