Time,Servers,AverageCPU,Sessions,Pheromone
0.01,2,0.0,0.0,NaN
60.01,1,0.0,0.0,NaN
120.01,1,0.0,0.0,NaN
180.01,1,0.27,1.0,NaN
240.01,1,0.27,1.0,NaN
300.01,1,0.47,2.0,NaN
360.01,1,0.43,1.0,NaN
420.01,1,0.6,3.0,NaN
480.01,1,0.4,2.0,NaN
540.01,1,0.6,3.0,NaN
600.01,2,0.29,2.0,NaN
660.01,2,0.235,2.0,NaN
720.01,2,0.235,2.0,NaN
780.01,1,0.27,1.0,NaN
840.01,1,0.27,1.0,NaN
900.01,1,0.43,1.0,NaN
960.01,1,0.47,2.0,NaN
1020.01,1,0.63,3.0,NaN
1080.01,1,0.63,3.0,NaN
1140.01,2,0.635,6.0,NaN
1200.01,2,0.715,7.0,NaN
1260.01,2,0.7849999999999999,8.0,NaN
1320.01,3,0.47000000000000003,7.0,NaN
1380.01,3,0.30333333333333334,4.0,NaN
1440.01,2,0.08,1.0,NaN
1500.01,2,0.27,2.0,NaN
1560.01,2,0.27,2.0,NaN
1620.01,2,0.57,6.0,NaN
1680.01,3,0.42333333333333334,6.0,NaN
1740.01,3,0.57,8.0,NaN
1800.01,3,0.47333333333333333,6.0,NaN
1860.01,2,0.135,1.0,NaN
1920.01,2,0.135,1.0,NaN
1980.01,2,0.135,1.0,NaN
2040.01,1,0.47,2.0,NaN
2100.01,1,0.47,2.0,NaN
2160.01,2,0.465,5.0,NaN
2220.01,2,0.38,4.0,NaN
2280.01,2,0.45,4.0,NaN
2340.01,2,0.27,2.0,NaN
2400.01,1,0.0,0.0,NaN
2460.01,1,0.27,1.0,NaN
2520.01,1,0.27,1.0,NaN
2580.01,1,0.47,2.0,NaN
2640.01,2,0.465,4.0,NaN
2700.01,2,0.465,4.0,NaN
2760.01,2,0.465,4.0,NaN
2820.01,2,0.27,2.0,NaN
2880.01,2,0.35,4.0,NaN
2940.01,2,0.445,5.0,NaN
3000.01,2,0.485,5.0,NaN
3060.01,2,0.43,4.0,NaN
3120.01,2,0.53,6.0,NaN
3180.01,2,0.43,4.0,NaN
3240.01,2,0.365,3.0,NaN
3300.01,2,0.27,2.0,NaN
3360.01,1,0.27,1.0,NaN
3420.01,1,0.27,1.0,NaN
3480.01,1,0.63,3.0,NaN
3540.01,2,0.465,4.0,NaN
3600.01,2,0.45,4.0,NaN
3660.01,2,0.53,5.0,NaN
3720.01,2,0.43,5.0,NaN
3780.01,3,0.47,7.0,NaN
3840.01,3,0.47,6.0,NaN
3900.01,3,0.42333333333333334,6.0,NaN
3960.01,3,0.37333333333333335,5.0,NaN
4020.01,3,0.5233333333333333,8.0,NaN
4080.01,3,0.4666666666666666,7.0,NaN
4140.01,3,0.33,4.0,NaN
4200.01,2,0.135,1.0,NaN
4260.01,2,0.365,3.0,NaN
4320.01,2,0.43,4.0,NaN
4380.01,2,0.43,4.0,NaN
4440.01,2,0.365,3.0,NaN
4500.01,2,0.365,3.0,NaN
4560.01,2,0.43,4.0,NaN
4620.01,2,0.43,4.0,NaN
4680.01,2,0.345,2.0,NaN
4740.01,2,0.365,3.0,NaN
4800.01,2,0.63,6.0,NaN
4860.01,2,0.63,6.0,NaN
4920.01,2,0.53,5.0,NaN
4980.01,2,0.27,2.0,NaN
5040.01,2,0.365,3.0,NaN
5100.01,2,0.27,2.0,NaN
5160.01,2,0.53,6.0,NaN
5220.01,2,0.43,4.0,NaN
5280.01,2,0.43,4.0,NaN
5340.01,3,0.2866666666666667,4.0,NaN
5400.01,3,0.3333333333333333,5.0,NaN
5460.01,3,0.42333333333333334,6.0,NaN
5520.01,3,0.27,3.0,NaN
5580.01,2,0.0,0.0,NaN
5640.01,2,0.365,3.0,NaN
5700.01,2,0.365,3.0,NaN
5760.01,3,0.5133333333333333,7.0,NaN
5820.01,3,0.45333333333333337,6.0,NaN
5880.01,3,0.35333333333333333,5.0,NaN
